,ATG Electrolyzer,ATG Fuel Cell,BRB Electrolyzer,BRB Fuel Cell,GLP Electrolyzer,GLP Fuel Cell,MTQ Electrolyzer,MTQ Fuel Cell,LCA Electrolyzer,LCA Fuel Cell,SVG Electrolyzer,SVG Fuel Cell,GRD Electrolyzer,GRD Fuel Cell,SKN Electrolyzer,SKN Fuel Cell,MSR Electrolyzer,MSR Fuel Cell
869,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
870,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
871,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
872,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
873,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0236218716898549,-0.0,-0.0,-0.0
874,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
875,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
876,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
877,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
878,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
879,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
880,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
881,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5005522601794884,-0.0,-0.0
882,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.7390892304908583,-0.0,-0.0
883,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
884,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
885,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.8076535503812634,-0.0,-0.0
886,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
887,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
888,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
889,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
890,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
891,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
892,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
893,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
894,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
895,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
896,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
897,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9207932212158454,-0.0,-0.0,-0.0
898,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
899,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
900,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
901,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
902,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3686466393550205,-0.0,-0.0,-0.0
903,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
904,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
905,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
906,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4816665363624395,-0.0,-0.0
907,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
908,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
909,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
910,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
911,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
912,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
913,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
914,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
915,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
916,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
917,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
918,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
919,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
920,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
921,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2801498584198754,-0.0,-0.0,-0.0
922,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
923,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
924,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
925,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
926,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
927,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
928,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
929,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
930,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
931,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
932,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
933,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
934,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
935,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
936,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
937,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
938,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
939,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
940,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
941,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
942,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
943,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
944,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
945,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
946,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
947,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
948,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
949,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
950,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
951,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
952,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
953,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
954,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
955,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
956,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
957,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
958,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
959,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
960,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
961,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
962,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
963,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
964,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
965,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
966,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
967,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
968,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
969,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
970,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
971,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
972,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
973,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
974,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
975,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
976,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
977,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
978,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
979,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
980,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
981,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
982,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
983,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
984,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
985,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8621090632182664,-0.0,-0.0,-0.0
986,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
987,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
988,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
989,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
990,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
991,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
992,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
993,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
994,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
995,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
996,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
997,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
998,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
999,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
1000,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
1001,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
1002,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
1003,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.8221013099728474,-0.0,-0.0,-0.0
1004,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9418156911640381,-0.0,-0.0,-0.0
1005,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
1006,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
1007,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
1008,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
1009,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
1010,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
1011,-0.0,-0.0,-0.0,-0.0,20.79208656495621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.260985618167397,-0.0,-0.0,-0.0
