name,bus,p_nom_extendable,p_nom_max,capital_cost,build_year,cyclic_state_of_charge,max_hours,p_nom_opt
ATG Storage,Antigua,True,70.0,61473.0,0,True,4.0,70.0
BRB Storage,Barbados,True,200.0,61473.0,0,True,4.0,173.53874999999996
DMA Storage,Dominica,True,20.0,61473.0,0,True,4.0,-0.0
GLP Storage,Guadeloupe,True,320.0,61473.0,0,True,4.0,320.0
GRD Storage,Grenada,True,45.0,61473.0,0,True,4.0,45.0
LCA Storage,SaintLucia,True,75.0,61473.0,0,True,4.0,75.0
MSR Storage,Montserrat,True,3.0,61473.0,0,True,4.0,1.0812088747867816
MTQ Storage,Martinique,True,250.0,61473.0,0,True,4.0,250.0
SKN Storage,SaintKittsNevis,True,45.0,61473.0,0,True,4.0,45.0
SVG Storage,SaintVincentGrenadines,True,30.0,61473.0,0,True,4.0,17.478105329497666
