,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,MSR wind,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,LCA diesel,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,BRB biomass,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind
0,-0.0,-0.0,3.2354425948702286,6.0,-0.0,9.420654098468445,-0.0,-0.0,1.35,-0.0,0.2649597973347875,-0.0,15.0,13.23,45.891344203888984,-0.0,-0.0,3.5999999999999996,9.0,-0.0,75.24657034186727,-0.0,-0.0,-0.0,19.992321428605177,-0.0,1.8271809035745938,-0.0,-0.0,61.36980223693602,-0.0,-0.0,-0.0,15.3772441865203,-0.0,-0.0,-0.0,21.52869367377796
1,-0.0,-0.0,3.258267586721165,6.0,-0.0,9.615076603314886,-0.0,-0.0,0.8999999999999999,-0.0,0.26782422757624463,-0.0,15.0,13.23,46.13501505806892,-0.0,-0.0,2.6999999999999993,9.0,-0.0,74.07913413063943,-0.0,41.4,-0.0,19.754632006072224,-0.0,1.8271809035745938,-0.0,-0.0,60.98814923795009,-0.0,-0.0,-0.0,15.259561195296932,-0.0,-0.0,-0.0,22.74428113232708
2,-0.0,-0.0,3.1897926111683566,6.0,-0.0,9.544377510643454,-0.0,-0.0,0.8999999999999999,-0.0,0.2649597973347875,-0.0,15.0,13.23,45.972567821948964,-0.0,10.0,2.5999999999999996,9.0,-0.0,73.3362201780399,-0.0,-0.0,-0.0,19.38489290435429,-0.0,1.8271809035745938,-0.0,-0.0,60.37750443957262,-0.0,-0.0,-0.0,14.906512221626823,-0.0,-0.0,-0.0,23.25610743066356
3,-0.0,-0.0,3.161261371354686,6.0,-0.0,9.332280232629154,-0.0,-0.0,1.1775128915636273,-0.0,0.261936232239051,-0.0,15.0,13.23,45.810120585829004,-0.0,10.0,2.5,9.0,-0.0,73.54848130735404,-0.0,-0.0,-0.0,19.25284322516932,-0.0,1.8271809035745938,-0.0,-0.0,59.91952084078952,-0.0,-0.0,-0.0,14.592690911697836,1.7073090883021642,-0.0,-0.0,23.86390115993812
4,-0.0,-0.0,3.246855090795697,6.0,-0.0,9.190882047286287,-0.0,-0.0,1.1972680930121475,-0.0,0.26273190698785237,-0.0,15.0,13.23,45.64767334970905,-0.0,-0.0,2.4000000000000004,9.0,-0.0,74.1852646952965,-0.0,-0.0,-0.0,19.332073032680302,-0.0,1.8271809035745938,-0.0,-0.0,59.46153724200641,-0.0,-0.0,-0.0,14.573077079827275,0.9379201170639924,-0.0,-0.0,21.52869367377796
5,-0.0,-0.0,3.309623818385772,6.0,-0.0,9.173207274118429,-0.0,-0.0,1.1583820379469125,-0.0,0.2616179620530874,-0.0,15.0,13.23,44.26687184268938,-0.0,10.0,2.0999999999999996,9.0,-0.0,72.69943679009744,-0.0,-0.0,-0.0,19.120793545984345,-0.0,1.8271809035745938,-0.0,-0.0,58.92722304342612,-0.0,-0.0,-0.0,14.455394088603905,1.844605911396096,-0.0,-0.0,22.74428113232708
6,-0.0,-0.0,3.286798826534836,6.0,32.886765718677104,9.15553250095057,0.15782086133508622,-0.0,1.1507720254557212,0.0017475229990977208,0.2574804515451809,-0.0,15.0,13.23,42.56117586342979,2.047334788925029,1.1075066842331367,1.8000000000000007,9.0,-0.0,69.83391154435637,2.129606646813422,41.4,19.866647402794676,18.77746438010341,0.42870731352731595,1.8271809035745938,-0.0,3.5062498684088825,59.003553643223306,-0.0,-0.0,0.0421931183758101,14.376938761121659,1.0808681205025308,-0.0,0.030693599201144124,23.25610743066356
7,-0.0,15.153337945104838,3.2354425948702286,6.0,-0.0,8.96110999610413,23.988770922933107,-0.0,0.9099410077341727,0.24814826587187633,0.2519107263939509,-0.0,15.0,13.23,41.34282159253008,102.36673944625146,10.0,2.0,9.0,-0.0,67.60516968655776,73.47142931506306,-0.0,7.032882920779538,18.592594829244444,14.147341346401426,1.8271809035745938,-0.0,52.944373012974125,59.46153724200641,10.0,-0.0,1.9197868860993597,14.53384941608615,-0.0,-0.0,1.9336967496720798,23.86390115993812
8,-0.0,34.34158836079972,3.16696761931742,6.0,-0.0,6.956790718869005,44.69486793009642,-0.0,0.8999999999999999,0.6116330496842023,0.24602273057935228,-0.0,15.0,13.23,40.530585411930275,228.6190514299616,-0.0,2.9000000000000004,9.0,-0.0,67.28677799258654,173.03054005359053,-0.0,-0.0,18.645414700918433,36.58302408766429,1.8271809035745938,-0.0,116.7581206180158,60.072182040383886,-0.0,-0.0,4.894401731593972,14.906512221626823,-0.0,-0.0,5.217911864194502,24.375727458274596
9,-0.0,48.68794381178655,3.0128989243235997,6.0,-0.0,8.324818162061232,82.29605401997281,-0.0,0.8999999999999999,0.9069644365317171,0.23583808987997296,-0.0,15.0,13.23,39.231007522970586,316.65444735373785,-0.0,3.5999999999999996,9.0,-0.0,67.39290855724362,259.81201091123745,-0.0,-0.0,18.645414700918433,58.87580439108472,1.8271809035745938,-0.0,172.50749352571702,60.14851264018107,-0.0,-0.0,8.122175287343445,15.161492035944123,-0.0,-0.0,8.41004618111349,24.503684032858715
