,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Dominica,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada
14,0.0,1.4210854715202004e-14,2.842170943040401e-14,6.938893903907228e-17,0.0,-8.881784197001252e-15,-1.3322676295501878e-15,0.0,-1.3322676295501878e-15,8.881784197001252e-16
15,0.0,0.0,2.1316282072803006e-14,6.938893903907228e-17,0.0,-1.0658141036401503e-14,0.0,0.0,4.440892098500626e-16,1.7763568394002505e-15
16,0.0,0.0,-2.4868995751603507e-14,-6.938893903907228e-17,0.0,2.842170943040401e-14,1.7763568394002505e-15,3.552713678800501e-15,1.7763568394002505e-15,8.881784197001252e-16
17,0.0,-3.552713678800501e-15,2.1316282072803006e-14,-6.938893903907228e-17,0.0,-3.552713678800501e-15,0.0,0.0,4.440892098500626e-16,1.7763568394002505e-15
18,0.0,0.0,-7.105427357601002e-15,-6.938893903907228e-17,0.0,-1.7763568394002505e-14,-5.329070518200751e-15,0.0,-5.773159728050814e-15,8.881784197001252e-16
19,8.881784197001252e-16,-3.552713678800501e-15,7.105427357601002e-15,-6.938893903907228e-17,0.0,-1.7763568394002505e-14,5.329070518200751e-15,0.0,5.773159728050814e-15,8.881784197001252e-16
20,-3.552713678800501e-15,0.0,-7.105427357601002e-15,-6.938893903907228e-17,0.0,1.0658141036401503e-14,5.329070518200751e-15,7.105427357601002e-15,5.773159728050814e-15,8.881784197001252e-16
21,-8.881784197001252e-16,0.0,-7.105427357601002e-15,6.938893903907228e-17,0.0,-1.0658141036401503e-14,-1.0658141036401503e-14,-7.105427357601002e-15,-2.220446049250313e-15,8.881784197001252e-16
22,4.440892098500626e-15,0.0,-7.105427357601002e-15,-6.938893903907228e-17,0.0,-1.7763568394002505e-14,-8.881784197001252e-15,0.0,5.773159728050814e-15,-8.881784197001252e-16
23,-3.552713678800501e-15,0.0,7.105427357601002e-15,6.938893903907228e-17,0.0,-1.7763568394002505e-14,1.7763568394002505e-15,1.4210854715202004e-14,-1.3322676295501878e-15,2.6645352591003757e-15
24,-3.552713678800501e-15,0.0,7.105427357601002e-15,-6.938893903907228e-17,0.0,-1.7763568394002505e-14,-1.7763568394002505e-15,1.7763568394002505e-15,2.220446049250313e-15,-8.881784197001252e-16
25,7.105427357601002e-15,0.0,-7.105427357601002e-15,-6.938893903907228e-17,0.0,-1.0658141036401503e-14,3.552713678800501e-15,0.0,4.884981308350689e-15,-8.881784197001252e-16
